v1,cleaned_text,length
ham,sorry c ur msg yar lor poor thing one night tmr ull brand new room sleep,16
ham,love isnt decision feeling could decide love life would much simpler less magical,13
ham,welp apparently retired,3
ham,sort code acc bank natwest reply confirm ive sent right person,11
ham,,0
ham,u sure u cant take sick time,7
spam,urgent trying contact u todays draw shows prize guaranteed call land line claim validhrs,14
ham,watching cartoon listening music amp eve go temple amp church u,11
ham,yo chad gymnastics class wanna take site says christians class full,11
ham,much buzy,2
ham,better still catch let ask sell ltgt,7
ham,sure night menu know noon menu,6
ham,u want come backa beautiful necklace token heart youthats give wife likingbe seeno one give thatdont call mei wait till come,21
ham,willing go aptitude class,4
ham,wont b trying sort house ok,6
ham,yar lor wan go c horse racing today mah eat earlier lor ate chicken rice u,16
ham,haha awesome omw back,4
ham,yup thk e shop closes lor,6
ham,account number,2
ham,eh u send wrongly lar,5
ham,hey ad crap nite borin without ya boggy u boring biatch thanx u wait til nxt time il ave ya,20
ham,ok shall talk,3
ham,dont hesitate know second time weakness like keep notebook eat day anything changed day sure nothing,16
ham,hey pay salary de ltgt,5
ham,another month need chocolate weed alcohol,6
ham,started searching get job dayshe great potential talent,8
ham,reckon need town eightish walk carpark,6
spam,congrats mobile g videophones r call videochat wid mates play java games dload polyph music noline rentl,17
ham,look fuckin time fuck think,5
ham,yo guess dropped,3
ham,carlos says hell mu ltgt minutes,6
ham,im office call ltgt min,5
ham,geeee miss already know think fuck cant wait till next year together loving kiss,14
ham,yun ahthe ubi one say wan call tomorrowcall look ireneere got bus ubi cresubi tech parkph st wkg daysn,19
ham,ugh gotta drive back sd la butt sore,8
ham,th july,2
ham,hi im relaxing time ever get every day party good night get home tomorrow ish,15
ham,wan come come lor din c stripes skirt,8
ham,xmas story peace xmas msg love xmas miracle jesus hav blessed month ahead amp wish u merry xmas,18
ham,cant dont number,3
ham,change e one next escalator,5
ham,yetunde im class run water make ok pls,8
ham,lot happened feels quiet beth aunts charlie working lots helen mo,11
ham,wait bus stop aft ur lect lar dun c go get car come back n pick,16
ham,aight thanks comin,3
ham,nobut heard abt tat,4
spam,please call customer service representative freephone ampm guaranteed cash prize,10
ham,yeshe really greatbhaji told kallis best cricketer sachin worldvery tough get,11
ham,ltgt think say syllabus,4
ham,umma say anything,3
ham,give sec think think,4
spam,panasonic bluetoothhdset free nokia free motorola free doublemins doubletxt orange contract call mobileupd call optout,15
ham,dont quite know still cant get hold anyone cud pick bout pm see theyre pub,15
ham,poyyarikaturkolathupalayamunjalur posterode dis ltgt,4
ham,dear heroi leaving qatar tonite apt opportunitypls keep touch ltemailgt kerala,11
ham,lol would mom would fit tell whole family crazy terrible,10
ham,got home babe still awake,5
ham,dunno close oredi v fan,5
ham,buy pizza meat lovers supreme u get pick,8
ham,ya toldshe asking wats matter,5
ham,dearregret cudnt pick calldrove frm ctla cochin homeleft mobile carente style ishtamayoohappy bakrid,13
spam,free st week nokia tone ur mob every week txt nokia get txting tell ur mates wwwgetzedcouk pobox wwq normptone,20
ham,shall send exe mail id,5
ham,nope watching tv home going v bored,7
ham,knowwait check,2
ham,good afternoon glorious anniversary day sweet j hope finds happy content prey think send teasing kiss across sea coaxing images fond souveniers cougarpen,23
spam,guess somebody know secretly fancies wanna find give us call landline dateboxessexcmxn pmin,13
ham,still tonight,2
ham,may call later pls,4
ham,hasnt pattern recently crap weekends,5
ham,sore throat scratches talk,4
ham,yes da plm ur office,5
ham,around still asleep v,4
ham,lol forgot eh yes ill bring babe,7
ham,good well find way,4
ham,use foreign stamps country good lecture,6
ham,yup bathe liao,3
ham,happy new year man,4
ham,oh mr sheffield wanna play game okay youre boss im nanny give raise ill give one,16
ham,zoe hit im fucking shitin il defo try hardest cum morow luv u millions lekdog,15
ham,hello baby get back moms setting computer filling belly goes loverboy miss already sighs,14
ham,blankets sufficient thx,3
ham,naughty little thought better flirt flirt n flirt rather loving someone n gettin hurt hurt n hurt gud nyt,19
ham,edison rightly said fool ask questions wise man answer know us speechless viva gm,14
ham,talking thats de wont,4
ham,today going college able atten class,6
ham,im class holla later,4
ham,easy ahsen got selected means good,6
ham,mmm thats better got roast id b better drinks good indian,11
spam,know someone know fancies call find pobox lshb p,9
ham,come round,2
ham,thing change sentence want concentrate educational career im leaving,9
spam,flirting txt girl bloke ur name age eg girl zoe join get chatting,13
ham,walked hour c u doesnt show care wont u believe im serious,12
spam,days euro kickoff u kept informed latest news results daily unsubscribe send get euro stop,15
ham,available soiree june rd,4
ham,u noe wat time e place dat sells closes,9
ham,got another job one hospital data analysis something starts monday sure thesis got finished,14
ham,jays getting really impatient belligerent,5
ham,hiya comin bristol st week april les got rudi new yrs eve snoringthey drunk u bak college yet work sends ink bath,22
ham,im work please call,4
ham,u drive lor,3
ham,ard like dat,3
ham,tell theyre female v howre throwing deciding get,8
spam,eastenders tv quiz flower dot compare violet e tulip f lily txt e f chance win cash wkentp,18
ham,im working technical support voice processnetworking field,7
ham,might come kerala daysso prepared take leave finalise dont plan travel visitneed finish urgent works,15
ham,ok sure time tho sure get library class try see point good eve,13
spam,new local dates area lots new people registered area reply date start wwwflirtpartyus replys,14
ham,thats fine ill bitch later,5
ham,mum went dentist,3
ham,free call sir waiting,4
ham,meeting u work tel shall work tomorrow,7
spam,someone u know asked dating service contact cant guess call revealed po box wu,14
ham,jus finish bathing,3
ham,alright ill make sure car back tonight,7
spam,urgent trying contact u todays draw shows prize guaranteed call land line claim c validhrs,15
spam,dear uve invited xchat final attempt contact u txt chat,10
ham,lul im gettin juicy gossip hospital two nurses talking fat gettin one thinks shes obese oyea,16
ham,aight ill get fb couple minutes,6
ham,oi ami parchi na kicchu kaaj korte iccha korche na phone ta tul na plz plz,16
ham,download clear movies dvd copies,5
ham,yep pretty sculpture,3
ham,convey regards,2
ham,watching surya movie pm vijay movie pokkiri,7
ham,tell happen dont behave like ok need say,8
ham,u get pic msgs phone,5
ham,send someone else,3
ham,wat makes people dearer de happiness dat u feel u meet de pain u feel u miss dem,18
ham,love start attractioni feel need every time around meshe first thing comes thoughtsi would start day end hershe every time dreamlove every breath namemy life happen around hermy life named heri would cry herwill give happiness take sorrowsi ready fight anyone heri love craziest things herlove dont proove anyone girl beautiful lady whole planeti always singing praises herlove start making chicken curry end makiing sambarlife beautiful thenwill get every morning thank god day mei would like say lotwill tell later,80
ham,frndship like needle clock though v r clock v r nt able met evn v meetitz seconds bt v alwys stay conected gud,23
ham,dont think spatula hands,4
ham,never nothing,2
spam,awarded sipix digital camera call landline delivery within days cs box mbp yr warranty ppm p p,17
ham,goodmorning today late ltdecimalgt min,5
spam,win urgent mobile number awarded prize guaranteed call land line claim valid hrs ppm,14
ham,please da call mistake side sorry da pls da goto doctor,11
ham,r meeting,2
ham,well weather calis great complexities great need car move freely taxes outrageous great place sad part missing home,18
ham,reached home tired come tomorro,5
ham,ryder unsoldnow gibbs,3
spam,dear subscriber ur draw gift voucher b entered receipt correct ans elvis presleys birthday txt answer,16
ham,dont fret ill buy ovulation test strips send wont get til like march send postal addressull alrightokay,17
ham,gifts trying get throw cliff something,6
ham,ne thing interesting good birthday u wrking nxt started uni today,11
ham,busy come point figure tomorrow,5
ham,yeah go bored depressed sittin waitin phone ring hope wind drops though scary,13
ham,black shirt n blue jeans thk c,7
ham,aiyah sorry lor watch tv watch forgot check phone,9
spam,message important information user today lucky day find log onto httpwwwurawinnercom fantastic surprise awaiting,14
ham,hen night going swing,4
ham,good afternoon love goes day woke early online waiting hmmm italian boy online see grins,15
ham,someone smoke every time ive smoked last two weeks calling texting wanted smoke,13
ham,youll get headache trying figure u trust math promise,9
ham,sfirst timedhoni rocks,3
ham,ok ill tell company,4
ham,awesome think get th usf time tonight,7
ham,means still think teju,4
ham,im good movie ok leave hourish,6
ham,nothis kallis home groundamla home town durban,7
ham,lets make saturday monday per convenience,6
ham,hey time driving fri go evaluation fri,7
spam,price claim call,3
ham,im going lunch wif family aft dat go str orchard lor,11
spam,bored speed dating try speedchat txt speedchat dont like em txt swap get new chatter chat poboxwwq pmsg rcd,19
ham,cancel cheyyamoand get money back,5
spam,want anytime network mins text new video phone five pounds per week call reply delivery tomorrow,16
ham,okok okthenwhats ur todays plan,5
ham,good morning princess,3
ham,aiyar sorry lor forgot tell u,6
spam,taking part mobile survey yesterday texts use however wish get txts send txt tc wwwtxtcom p,16
ham,tonight mate catching sleep new number way,7
ham,height oh shit situation guy throws luv letter gal falls brothers head whos gay,14
spam,ur hmv quiz cashbalance currently maximize ur cashin send hmv pmsg,11
ham,check errors difficulties correction,4
ham,howz painhope u r fine,5
ham,sorry ill call later,4
ham,good morning princess,3
ham,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went,15
ham,u wake already thanx e tau sar piah quite nice,10
ham,k need login anything,4
spam,dont forget place many free requests stchoicecouk wish information call,10
ham,lol busy,2
ham,u wearing,2
ham,messagesome text missing sendername missing number missing sentdate missing missing u lot thats everything missing sent via fullonsmscom,18
ham,ohas usual vijay film different,5
spam,dont know u u dont know send chat lets find pmsg rcvd hgsuitelandsrowwjhl ldn years,15
ham,good day mine really busy much tomorrow night,8
ham,way send shades stuff wonderful,5
ham,really tot ur paper ended long ago wat u copied jus got use u happy lar still haf study,19
spam,thank winner notified sms good luck future marketing reply stop customer services,12
ham,babe lost,2
ham,ok help ask shes working tmr,6
ham,im driving raining ill get caught e mrt station lor,10
ham,drop tank,2
ham,said text one time,4
ham,sorry ill call later,4
ham,ok go change also,4
spam,girls many local u r virgins r ready fil ur every sexual need u fil text cute p,18
ham,u find sitter kaitlyn sick slept day yesterday,8
ham,sorry man accidentally left phone silent last night didnt check til got,12
ham,hey something came last min think wun signing tmr hee,10
ham,hes adult would learn experience theres real danger dont like peeps using drugs dont need comment,16
ham,hey theres veggie pizza,4
ham,yun buying school got offer plus,6
ham,sure neighbors didnt pick,4
ham,k sent,2
spam,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs,20
ham,new theory argument wins situation loses person dont argue ur friends kick amp say im always correct,17
ham,well im computerless time make oreo truffles,7
ham,haha yeah see sec,4
ham,number sir,2
ham,lol im hot air balloon,5
ham,ok bus come soon come otherwise tomorrow,7
ham,msgs r time passthey silently say thinking u right also making u think least moment gd ntswt drms shesil,19
ham,yeah probably swing roommate finishes girl,6
spam,got takes take part wrc rally oz u lucozade energy text rally le p see packs lucozadecoukwrc itcould u,19
ham,happy new years melody,4
ham,dun need pick ur gf,5
ham,yay better told girls either,5
ham,horrible u eat macs eat u forgot abt already rite u take long reply thk toot b b prepared wat shall eat,22
ham,say fantastic chance anything need bigger life lift losing live think would first person die n v q,18
ham,nw came hme da,4
ham,im outside islands head towards hard rock youll run,9
ham,day class class,3
ham,im chennai velachery,3
ham,flippin shit yet,3
ham,k give sec breaking ltgt cstore,6
ham,much bad avoid like,4
ham,yo around got car back,5
ham,annoying isnt,2
ham,goodmorning today late ltgt min,5
ham,theres point hangin mr right hes makin u happy,9
ham,come alivebetter correct good looking figure,6
ham,case guess ill see campus lodge,6
ham,done,1
ham,come home one last time wont anything trust,8
ham,night worrying appt shame missed girls night quizzes popcorn hair,10
spam,sex ur mobile free sexy pic jordan text babe every wk get sexy celeb pocketbabecouk pics wk,17
ham,ok c ya,3
spam,new voicemail please call,4
ham,said matter mind saying matter,5
ham,also knows lunch menu da know,6
ham,al moan n e thin goes wrong faultal de arguments r faultfed himso bother hav go thanxxx,17
ham,neft transaction reference number ltgt rs ltdecimalgt credited beneficiary account ltgt lttimegt ltgt,13
ham,otherwise part time job natuition,5
ham,know called,2
ham,also da feel yesterday night wait til day night dear,10
ham,thanks understanding ive trying tell sura,6
spam,win year supply cds store ur choice worth enter weekly draw txt music tscs wwwldewcomsubswinppmx,15
ham,whole car appreciated last two dad map reading semi argument apart things going ok p,15
spam,sim subscriber selected receive bonus get delivered door txt word ok claim pmsg exp apr,15
ham,need strong arms,3
ham,also maaaan missing,3
ham,bday real april,3
ham,guessin aint gonna,3
ham,ok come ur home half hour,6
ham,yo game almost want go walmart soon,7
ham,yeah probably sure ilol let u know personally wuldnt bother ur goin mite well,14
ham,ill text creepy like wont think forgot,7
ham,would good ill phone tomo lunchtime shall organise something,9
spam,new voicemail please call,4
ham,damn make tonight want wait til tomorrow,7
ham,kkim also finewhen complete course,5
ham,true passable get high score apply phd get years salary makes life easier,13
spam,nokia tone ur mob every week txt nok st tone free get txtin tell ur friends ptone reply hl info,20
ham,prakesh know,2
ham,teach apps da come college,5
ham,rofl betta invest anti aging products,6
spam,winner u specially selected receive cash holiday flights inc speak live operator claim,13
ham,sir receive account another hr time sorry delay,8
spam,reply name address receive post weeks completely free accommodation various global locations wwwphbcom php,14
ham,submitting da project tmr rite,5
spam,free entry weekly comp send word enter tc wwwtextcompcom cust care,11
ham,jus ans lar ull noe later,6
ham,want send something sell fast ltgt k easy money,9
ham,got things may pub later,5
ham,finish meeting call,3
ham,lol ok ill snatch purse,5
ham,hellodrivbyquit edrunk sorry iff pthis makes senrddnot dancce drum n basqihave fun nhite x ros xxxxxxx,16
ham,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply,12
ham,much getting,2
ham,ur paper e morn aft tmr,6
ham,dear relieved westonzoyland going plan end,6
ham,hope great new semester wish best made greatness,8
ham,oh yes speak txt u hmm u get email,9
ham,want show world princess europe,5
ham,nobody decide eat dad wants chinese,6
ham,shoot im docs waiting room,5
ham,im going dinner soon,4
ham,hello site download songs urgent pls,6
ham,know u mean king havin credit im goinbed night night sweet onlymore sleep,13
ham,horrible gal sch stuff come u got mc,8
ham,hi hun im comin nitetell every im sorry hope u ava goodtimeoli rang melnite ifink mite b sortedbut il explain everythin monlrsx,22
ham,call later dont network urgnt sms,6
ham,ummmmmaah many many happy returns day dear sweet heart happy birthday dear,12
spam,please call immediately urgent message waiting,6
ham,yeah like goes like friends imma flip shit like half hour,11
ham,mum say wan go go shun bian watch da glass exhibition,11
ham,plan pongal,2
ham,wait till end march el nino gets oh,8
ham,yet chikkugoing room nw im bus,6
ham,also cbe pay,3
ham,honey boo im missing u,5
ham,sent jd customer service cum accounts executive ur mail id details contact us,13
ham,yo im parents gettin cash good news picked downstem,9
ham,thank much skyped wit kz sura didnt get pleasure company hope good weve given ultimatum oh countin aburo enjoy,19
spam,hungry gay guys feeling hungry call pmin stop texts call pmin,11
ham,ok wahala remember friend need,5
ham,see half hour,3
ham,im inperialmusic listeningthe weirdest track ever byleafcutter johnsounds like insects molestedsomeone plumbingremixed evil men acid,15
ham,hey sorry didntgive ya bellearlier hunny,6
ham,seriously tell exact words right,5
spam,u get phone wanna chat set meet call u cum moro luv jane xx callsminmoremobsemspoboxpowa,15
ham,tee hee lecture cheery bye bye,6
ham,sorry chikku cell got problem thts nt able reply u msg u,12
ham,still havent collected dough pls let know go place sent get control number,13
ham,ok,1
spam,network operator service free cs visit biz,7
ham,let know contact ive settled room lets know ok,9
ham,wot u u weirdo,4
ham,lor,1
ham,dont put phone silent mode ok,6
ham,meet depends wan lor,4
ham,waiting tv show start lor u leh still busy ur report,11
ham,oh ho first time u use type words,8
ham,one doesnt stalk profiles,4
ham,ever green quote ever told jerry cartoon person irritates u always one loves u vry much fails express gud nyt,20
ham,yes thought thanks,3
ham,shes drinkin im ok,4
ham,wondering others took,3
ham,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay gud mrng,20
ham,dog must always wait till end day word run time cell already,12
ham,happy new year u,4
ham,heygreat dealfarm tour pm pax deposit may,7
ham,eat jap done oso aft ur lect wat got lect rite,11
ham,hey babe saw came online second disappeared happened,8
ham,da birthdate certificate april real date today dont publish shall give special treat keep secret way thanks wishes,18
ham,happy birthday may ur dreams come true,7
ham,aiyah u ok already lar e nydc wheellock,8
ham,tell said eat shit,4
ham,sure driving reach destination soon,5
ham,k much th fifty,4
ham,daily text favour time,4
ham,great hear settling well whats happenin wit ola,8
ham,cocksuckers makes feel better ipads worthless garbage novelty items feel bad even wanting one,14
ham,tot u reach liao said tshirt,6
ham,fran decided go n e way im completely broke knackered got bout c u mrw love janx ps dads fone credit,21
ham,cant pick phone right pls send message,7
ham,right ill make appointment right,5
ham,designation software developer may get chennai,6
spam,enjoy jamster videosound gold club credits new videosounds logosmusicnews get fun jamstercouk help call,14
spam,get lions england tone reply lionm mono lionp poly go wwwringtonescouk original n best tones gbp network operator rates apply,20
ham,jokin oni lar busy wun disturb,6
ham,ok careful dont text drive,5
ham,ill always even spirit ill get bb soon trying sure need,11
ham,u r much close heart u go away shattered plz stay,11
ham,love u babe r u sure everything alrite idiot txt bak girlie,12
ham,abt making pics bigger,4
ham,got got colours lor one colour quite light n e darker lor actually im done shes styling hair,18
ham,whenevr ur sad whenevr ur gray remembr im listn watevr u wanna say jus walk wid little whileamp promise ill bring back ur smile,24
ham,nothing ok anyway give treat,5
spam,win newest harry potter order phoenix book reply harry answer questions chance first among readers,15
ham,ok,1
ham,correct work today,3
ham,sent scream moan bed princess,5
ham,wake long ago already dunno thing,6
ham,oh getting even u u,5
ham,thk shd ok said plus minus leave line paragraphs,9
ham,call plz number shows coveragd area urgnt call vasai amp reach clock call plz,14
ham,yeah jays sort fucking retard,5
ham,sorry bathroom sup,3
spam,ur balance ur next question sang uptown girl answer txt ur answer good luck,14
ham,exam february wish great day,5
ham,dont know come ask questions like dont mistake,8
ham,aight rush ill ask jay,5
ham,good morning plz call sir,5
ham,ok lar u sleep early nite,6
ham,oh icic k lor den meet day,7
ham,oh half hour much longer syria canada eh wow must get much work done day us extra time grins,19
ham,sometimes put walls around heartsnot safe getting hurt find cares enough break walls amp get closer goodnoon,17
ham,sweet may may go u meet carlos gauge pattys interest,10
ham,buying today need c meh,5
ham,aight sorry take ten years shower whats plan,8
ham,every mondaynxt week vl completing,5
ham,might ax well im,4
ham,chill another hrs could sleep pain surgical emergency see unfolds okay,11
ham,yeah ill try scrounge something,5
ham,crazy ar hes married like gd looking guys frens like say hes korean leonas fave dun thk aft thinking mayb prob ill go,23
ham,somewhere fredericksburg,2
ham,que pases un buen tiempo something like,7
ham,ok stay night xavier sleeping bag im getting tired,9
ham,doesnt need test,3
ham,nothing much chillin home super bowl plan,7
spam,freeday sexy st georges day pic jordantxt pic dont miss every wk saucy celeb pics c pocketbabecouk wk,18
ham,bugis oso near wat,4
ham,yo theres class tmrw right,5
ham,let ur heart ur compass ur mind ur map ur soul ur guide u never loose worldgnun sent via waysmscom,20
ham,goodnight sleep well da please take care pa please,9
ham,baaaaabe misss youuuuu go teach class,6
ham,convey regards,2
ham,u ned convince tht possible witot hurting feeling main,9
ham,good afternoon loverboy goes day luck come way think sweetie send love across sea make smile happy,17
ham,start sending blackberry torch nigeria find buyer melike month tell dad buy bb anyone oh,15
ham,ltgt pple marry lovers becz hav gud undrstndng dat avoids problems sent dis u u wil get gud news friday person like tomorrow best day life dont break chain break suffer send ltgt frnds ltgt mins whn u read,39
ham,yo dude guess got arrested day,6
ham,shuhui say change suntec steamboat u noe r u,9
ham,dance river,2
ham,yetunde im sorry moji seem busy able go shopping please find way get wanted us get please forgive reply free via yahoo messenger,23
ham,hey really pretty late want go lesson first join im reaching tp mrt,13
spam,hot live fantasies call p per min ntt ltd po box croydon cr wb k,15
ham,bbq sat mine ish ur welcome come,7
ham,dont know thing thats wrong everyso often panicks starts goin bout bein good enough,14
ham,alright im outhave good night,5
ham,try making another butt,4
ham,hope feeling great pls fill abiola,6
ham,though shd go n fun bar town something sound ok,10
ham,go write msg put dictionary mode cover screen hand press ltgt gently remove ur hand interesting,16
spam,bears pic nick tom pete dick fact types try gay chat photo upload call pmin stop texts call,18
spam,new mobiles must go txt nokia collect todayfrom wwwtcbiz optout gbpmtmsg txtauction,12
ham,finally ready fyi,3
ham,auntie huai juan never pick phone,6
spam,double mins double txt price linerental latest orange bluetooth mobiles call mobileupd latest offers calloptoutlf,15
ham,ya tel wats ur problem,5
spam,nokia tone ur mob every week txt nok st tone free get txtin tell ur friends ptone reply hl info,20
ham,dnt wnt tlk wid u,5
ham,spend days waiting ideal path appear front us forget paths made walking waiting goodnight,14
ham,ok arm feeling weak cuz got shot go another time,10
ham,please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday evei already see netno ticket availablei want book ticket tackle,20
ham,storming msg wen u lift phne u say hello u knw wt real meaning hello name girl yes u knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moralone get name person,33
ham,thats ok popped ask bout something said youd around tonght wen girl comes,13
ham,e best ur exam later,5
ham,hope ur head doesnt hurt much ploughing way pile ironing staying chinky tonight come round like,16
ham,oh ki think wi nz players unsold,7
ham,haha got fast lose weight thk muz go month den got effect geelater go aust put bk e weight,19
ham,wonder got online love gone net cafe get phone recharged friends net think boytoy,14
ham,haha kidding papa needs drugs,5
ham,thk shld b ya wana go lessons haha go one whole stretch,12
ham,oh ok,2
ham,r still meeting dinner tonight,5
ham,thats cool gentleman treat dignity respect,6
ham,shall start hear,3
ham,wait u lor need feel bad lar,7
ham,check got detailed message,4
ham,registered sinco payee log icicibankcom enter urn ltgt confirm beware frauds share disclose urn anyone,15
ham,decided people care stuff vote caring stuff losers,8
ham,kaiez enjoy ur tuition gee thk e second option sounds beta ill go yan jiu den msg u,18
ham,registered sinco payee log icicibankcom enter urn ltgt confirm beware frauds share disclose urn anyone,15
ham,cool fun practicing making babies,5
ham,actually getting ready leave house,5
ham,kkany special today,3
spam,urgent important information user today lucky day find log onto httpwwwurawinnercom fantastic surprise awaiting,14
ham,gotta,1
ham,ive got ten bucks jay noncomittal,6
ham,hungry,1
ham,pls speak customer machan,4
ham,somewhere beneath pale moon light someone think u dreams come true goodnite amp sweet dreams,15
ham,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,27
spam,dear uve invited xchat final attempt contact u txt chat pmsgrcvdhgsuitelandsrowwjhl ldn yrs,13
ham,wats ur opinion abt abt character,6
ham,jay snickering tells x totally fucking chords speak,8
ham,nofew hours beforewent hair cut,5
ham,wonder cos dun rem seeing silver car thk saw black one,11
ham,lmao take pic send,4
ham,speak feel words better silence gud mrng,7
ham,shes currently scotland,3
ham,work week,2
spam,congratulations ur awarded either cd gift vouchers free entry weekly draw txt music tncs wwwldewcom winppmxage,16
ham,lol great im getting hungry,5
ham,yes saw message,3
ham,ill mu like ltgt seconds,5
ham,ok,1
ham,thing r good thanx got exams march ive done revision fran still boyf ive gotta interviw exeter bit worriedx,19
ham,tell make little spreadsheet track whose idea smoke determine smokes much entire month february,14
spam,sale arsenal dartboard good condition doubles trebles,7
ham,dont look back building coat dont want get sick hurry home wear coat gym,14
ham,painful personal thought always try keep everybody happy time nobody recognises alone,12
ham,thanks lovely wisheds rock,4
ham,intrepid duo great time see soon,6
ham,asked sen come chennai search job,6
ham,dad went oredi,3
ham,jus hope true missin cos im really missin havent done anything feel guilty yet,14
ham,wat late still early mah juz go dinner lor aiya dunno,11
ham,arms fine hows cardiff uni,5
ham,fact leave think addie goes back school tues wed,9
ham,cool breeze bright sun fresh flower twittering birds waiting wish u goodmorning amp nice day,15
ham,yagoing restaurant,2
ham,ok askd u knw tht,5
spam,free st week entry textpod chance win gb ipod cash every wk txt pod tscs wwwtextpodnet custcare,17
ham,ducking chinchillas,2
ham,marriage function,2
ham,looks like u wil b getting headstart im leaving bout ish u r desperate company could head earlierwe goin meet rummer,21
ham,dont give flying monkeys wot think certainly dont mind friend mine,11
spam,registered optin subscriber ur draw gift voucher entered receipt correct ans whats bbc charts,14
ham,say thanks,2
ham,msg rajini comes,3
ham,ya taking ure practical lessons start june,7
ham,thats good need drugs,4
ham,stupidits possible,2
ham,decide faster cos sis going home liao,7
spam,summers finally fancy chat flirt sexy singles yr area get matched reply summer free join optout txt stop help,19
ham,u sleeping going take haha got spys wat online checking n replying mails lor,14
spam,claire havin borin time alone u wanna cum nite chat hope c u luv claire xx callsminmoremobsemspoboxpowa,17
ham,fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose,21
spam,bought one ringtone getting texts costing pound offering tones etc,10
ham,yalru lyfu astne chikku bt innu mundhe lyf ali halla ke bilo marriageprogram edhae lyf nt yet ovr chikkuali vargu lyfu meow meowd,23
ham,kinda first one gets twelve aah speak tomo,8
spam,urgent mobile xxxxxxxxx bonus caller prize nd attempt reach call asap,11
ham,ok good later come find c lucky told go earlier later pple take finish,14
ham,wat makes u thk ill fall actually thk im quite prone falls lucky dad home ask come n fetch already,20
spam,guaranteed latests nokia phone gb ipod mp player prize txt wordcollect tcllc nyusa pmt msgrcvd,15
ham,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance rs ltdecimalgt transaction id kr ltgt,15
ham,wont touch permission,3
spam,hi lucy hubby meetins day fri b alone hotel u fancy cumin pls leave msg day lucy x callsminmobsmorelkpoboxhpfl,19
ham,wonders world th th ur style th ur smile th ur personality rd ur nature nd ur sms st ur lovely friendship good morning dear,25
ham,take small dose tablet fever,5
ham,oh u must taken real valentine shopping first,8
ham,sent email address incomm right,5
ham,gonna blakes night might able get little early,8
ham,friendship game play word say doesnt start march ends may tomorrow yesterday today e,14
ham,nice waitshould texting right im gonna pay ticket ya know,10
ham,im watching lotr w sis dis aft u wan meet dinner nite,12
ham,keeping away like,3
ham,think far find check google maps place dorm,8
ham,trip ok quite tiring lor uni starts today ok cos im taking modules jus concentrating final yr project,18
ham,always saying welp,3
ham,im guy browsin compulsory,4
ham,ok,1
ham,purity friendship two smiling reading forwarded messageits smiling seeing name gud evng musthu,13
ham,sorry ill call later,4
ham,add dont really care cant least get dude fuck hey money want,12
ham,hello lover goes new job happy think wake slave send teasing kiss across sea,14
ham,told number gautham,3
ham,tell need investigate anywhere,4
ham,ok juz receive,3
ham,cant believe said many things morning really wanted say good morning love beautiful morning see library later,17
spam,account credited free text messages activate txt word credit tcs wwwbiz,11
ham,end might still vomit okay everything come,7
ham,moneyas youmoney aint thinghow sha,5
ham,everything weather keep extra warm cold nothing serious pls lots vitamin c,12
ham,hey gals anyone u going e driving centre tmr,9
ham,im always yahoo messenger send message ill get may send mobile mode sha ill get reply,16
ham,im putting ready lttimegt,4
ham,time n smile r two crucial things life sometimes time makes us forget smile sometimes someones smile makes us forget time gud noon,23
spam,sms ac jsco energy high u may know channel day ur leadership skills r strong psychic reply ans wquestion end reply end jsco,23
ham,hostbased idps linux systems,4
spam,hot live fantasies call p per min ntt ltd po box croydon cr wb national rate call,17
ham,dawhats plan,2
ham,ill ltgt ok,3
ham,oh god im almost home,5
ham,total video converter free download type google search,8
spam,thanks vote sing along stars karaoke mobile free link reply sing,11
ham,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,27
ham,sounds like something someone testing would sayy,7
ham,u love someone dont make love u much u love much dont want loved anyone except gud nit,18
ham,peteis phone still jenny college leannewhat,6
ham,oops sorry check dont mind picking tomo half eight station would ok,12
ham,hey sweet wondering moment might come want send file someone wont go yahoo connection sucks remember set page go download format disc could tell know way download big files download stuff directly internet help would great prey teasing kiss,39
ham,hows champ leaving glasgow,4
ham,kall bestcongrats,2
ham,wonder youll get text,4
ham,need come home give good lovin,6
spam,brand new mobile music service live free music player arrive shortly install phone browse content top artists,17
ham,shall ask one thing dont mistake,6
ham,check wid corect speling ie sarcasm,6
spam,urgent mobile awarded bonus caller prize nd attempt contact call boxqu bt national rate,14
ham,angry happen dear,3
ham,thk u dun haf hint e forum already lor cos told ron n darren going tell shuhui,17
ham,yup ok thanx,3
ham,hicts employee,2
ham,pls pls find aunt nike,5
ham,wow love sooo much know barely stand wonder day goes well love think miss,14
ham,screaming means shouting,3
ham,hey happen de alright,4
ham,picked receipt something earlier,4
ham,think chennai well settled,4
ham,oh dang didnt mean send lol,6
ham,unfortunately ive found pick sister airport evening dont think ill going try go one th,15
